Timestamp (Local),at7_nhx,at4_nhx,at6_nhx,plant_inf_q,at7_z2_do,at7_z3_do
10/2/2023 6:00,-0.02,0.01,-0.04,9.75,0.26,0.74
10/2/2023 6:20,-0.01,0.01,-0.03,10.89,0.28,0.73
10/2/2023 6:40,-0.03,0.01,-0.01,11.42,0.3,0.73
10/2/2023 7:00,0,0.01,0.01,12.09,0.3,0.77
10/2/2023 7:20,-0.02,0.01,0,13.69,0.24,0.73
10/2/2023 7:40,-0.02,0.01,0.06,15.62,0.25,0.64
10/2/2023 8:00,0.01,0.02,0.07,17.12,0.28,0.55
10/2/2023 8:20,0.01,0.02,0.06,17.72,0.27,0.38
10/2/2023 8:40,-0.01,0.02,0.13,17.91,0.26,0.24
10/2/2023 9:00,0.02,0.05,0.43,17.5,0.25,0.2
10/2/2023 9:20,0.17,0.25,1.04,17.23,0.38,0.21
10/2/2023 9:40,0.29,0.54,1.69,17.05,0.34,0.2
10/2/2023 10:00,0.29,0.93,2.09,15.78,0.31,0.26
10/2/2023 10:20,0.65,1.3,2.29,16.85,0.33,0.26
10/2/2023 10:40,0.97,1.29,2.45,16.29,0.19,1.2
10/2/2023 11:00,0.98,1.25,2.39,17.15,0.34,0.46
10/2/2023 11:20,0.83,1.1,2.34,16.91,0.35,0.32
10/2/2023 11:40,0.87,0.94,2.23,16.57,0.3,0.31
10/2/2023 12:00,1.01,0.97,2.04,17.69,0.32,0.31
10/2/2023 12:20,1.17,1.04,1.93,15.28,0.34,0.32
10/2/2023 12:40,1.32,1.23,1.85,16.07,0.32,0.29
10/2/2023 13:00,1.45,1.44,1.86,15.77,0.31,0.25
10/2/2023 13:20,1.62,1.59,1.77,15.98,0.28,0.26
10/2/2023 13:40,1.88,1.65,1.78,15.52,0.33,0.26
10/2/2023 14:00,2.08,1.76,1.87,15.18,0.38,0.34
10/2/2023 14:20,2.11,1.79,1.9,15.46,0.42,0.39
10/2/2023 14:40,2.36,2.05,2.15,14.92,0.54,0.57
10/2/2023 15:00,2.08,2.14,2.14,14.39,0.58,0.59
10/2/2023 15:20,1.91,1.98,2.26,14.41,0.56,0.56
10/2/2023 15:40,1.7,1.67,2.35,14.57,0.59,0.6
10/2/2023 16:00,1.48,1.3,2.29,15,0.52,0.57
10/2/2023 16:20,1.28,0.98,2.21,15.19,0.48,0.45
10/2/2023 16:40,1.16,0.64,2.06,15.52,0.43,0.43
10/2/2023 17:00,1.15,0.54,1.98,14.98,0.37,0.35
10/2/2023 17:20,1.23,0.58,1.89,17.21,0.26,0.35
10/2/2023 17:40,1.35,0.8,1.76,16.92,0.31,0.34
10/2/2023 18:00,1.59,1.04,1.68,17.54,0.36,0.35
10/2/2023 18:20,1.91,1.29,1.81,17.18,0.48,0.44
10/2/2023 18:40,2.15,1.8,2.04,17.21,0.53,0.57
10/2/2023 19:00,2.4,2.15,2.04,17.83,0.41,0.61
10/2/2023 19:20,2.43,2.44,2.17,18.07,0.66,0.78
10/2/2023 19:40,2.26,2.84,2.26,19.64,0.76,0.82
10/2/2023 20:00,2.19,2.78,2.36,20.21,0.59,0.81
10/2/2023 20:20,2.11,2.35,2.36,22.35,0.79,0.69
10/2/2023 20:40,2.05,2.04,2.45,22.57,0.68,0.65
10/2/2023 21:00,2.14,1.64,2.61,22.75,0.65,0.73
10/2/2023 21:20,2.22,1.28,2.75,22.35,0.94,0.97
10/2/2023 21:40,2.3,1.06,2.76,22.1,0.95,0.95
10/2/2023 22:00,2.11,0.93,2.74,21.55,0.91,0.94
10/2/2023 22:20,2.07,0.84,2.5,21.04,0.74,0.91
10/2/2023 22:40,2.09,0.88,2.48,20.24,0.99,0.92
10/2/2023 23:00,1.97,0.94,2.46,19.43,0.86,0.96
10/2/2023 23:20,1.88,0.97,2.35,18.5,0.46,1.04
10/2/2023 23:40,1.66,1.13,2.2,17.58,0.88,1.11
10/3/2023 0:00,1.58,1.22,1.98,16.63,0.94,0.97
10/3/2023 0:20,1.33,1.29,1.75,15.34,0.89,0.92
10/3/2023 0:40,0.95,1.27,1.48,13.62,1.07,0.87
10/3/2023 1:00,0.59,1.22,1.12,13.45,0.62,0.69
10/3/2023 1:20,0.26,1.06,0.68,12.09,0.75,0.71
10/3/2023 1:40,0.12,1.06,0.68,11.28,0.67,0.54
10/3/2023 2:00,0.06,1.06,0.68,10.8,0.46,0.38
10/3/2023 2:20,0.01,0.55,0.06,10.31,0.37,0.38
10/3/2023 2:40,0.02,0.51,0.02,9.8,0.32,0.33
10/3/2023 3:00,0.01,0.36,0,9.9,0.34,0.28
10/3/2023 3:20,0,0.24,-0.01,8.93,0.38,0.3
10/3/2023 3:40,0.04,0.16,0.02,8.79,0.41,0.32
10/3/2023 4:00,0.01,0.09,0.02,8.6,0.43,0.37
10/3/2023 4:20,0.01,0.04,0,8.53,0.33,0.37
10/3/2023 4:40,0.03,0.04,0,8.87,0.45,0.42
10/3/2023 5:00,0.01,0.02,0.02,8.54,0.38,0.43
10/3/2023 5:20,0.02,0.03,0,8.46,0.31,0.47
10/3/2023 5:40,0.02,0.02,-0.01,8.58,0.31,0.53
10/3/2023 6:00,0.01,0.01,0.01,9.9,0.35,0.61
10/3/2023 6:20,0.01,0.01,0.03,10.29,0.25,0.65
10/3/2023 6:40,0.02,0.01,0,11.14,0.2,0.6
10/3/2023 7:00,0,0.02,0,12.06,0.27,0.6
10/3/2023 7:20,0.02,0,0.02,13.38,0.26,0.59
10/3/2023 7:40,0.02,0.04,0.05,15.42,0.29,0.51
10/3/2023 8:00,0.01,0.02,0.05,17.04,0.24,0.51
10/3/2023 8:20,0.02,0.01,0.05,18.05,0.26,0.43
10/3/2023 8:40,0.03,0.01,0.1,18.76,0.21,0.24
10/3/2023 9:00,0.01,0.04,0.36,18.17,0.25,0.2
10/3/2023 9:20,0.08,0.12,1.06,18.45,0.34,0.19
10/3/2023 9:40,0.27,0.41,1.79,18.56,0.31,0.23
10/3/2023 10:00,0.63,0.81,2.07,16.75,0.35,0.26
10/3/2023 10:20,1.04,1.14,2.48,16.73,0.32,0.3
10/3/2023 10:40,1.4,1.43,2.59,17.15,0.29,0.35
10/3/2023 11:00,1.56,1.53,2.57,16.33,0.29,0.35
10/3/2023 11:20,1.61,1.58,2.55,16.44,0.41,0.35
10/3/2023 11:40,1.6,1.62,2.36,15.85,0.36,0.35
10/3/2023 12:00,1.69,1.63,2.12,15.66,0.33,0.35
10/3/2023 12:20,1.8,1.61,1.92,15.03,0.4,0.33
10/3/2023 12:40,1.81,1.6,1.88,16.06,0.34,0.47
10/3/2023 13:00,1.8,1.48,1.92,16.39,0.47,0.46
10/3/2023 13:20,1.75,1.32,1.89,17.15,0.41,0.47
10/3/2023 13:40,1.74,1.38,1.93,17.38,0.41,0.46
10/3/2023 14:00,1.79,1.6,2.05,16.89,0.44,0.46
10/3/2023 14:20,1.79,1.52,2.29,16.72,0.5,0.48
10/3/2023 14:40,1.36,1.71,2.59,15.96,0.51,0.45
10/3/2023 15:00,1.68,1.91,2.74,15.84,0.48,0.46
10/3/2023 15:20,1.75,2.17,2.64,16.17,0.43,0.47
10/3/2023 15:40,1.95,2.18,2.56,15.65,0.4,0.48
10/3/2023 16:00,2.13,2.35,2.51,15.99,0.53,0.62
10/3/2023 16:20,2.24,2.06,2.43,15.73,0.6,0.66
10/3/2023 16:40,2.18,1.76,2.38,15.95,0.71,0.79
10/3/2023 17:00,2.08,1.48,2.24,14.93,0.73,0.88
10/3/2023 17:20,1.99,1.28,2.17,17.2,0.7,0.75
10/3/2023 17:40,1.91,1.11,2.23,17.48,0.63,0.75
10/3/2023 18:00,1.91,0.92,2.32,17.3,0.83,0.7
10/3/2023 18:20,1.94,0.94,2.46,17.9,0.75,0.68
10/3/2023 18:40,2.03,1.17,2.44,17.77,0.7,0.71
10/3/2023 19:00,2.05,1.33,2.23,18.55,0.91,0.74
10/3/2023 19:20,2.07,1.5,2.13,19.11,0.77,0.82
10/3/2023 19:40,2.05,1.6,1.88,19.16,0.96,0.87
10/3/2023 20:00,1.82,1.84,1.67,19.57,0.82,0.85
10/3/2023 20:20,1.62,1.93,1.56,20.44,0.95,0.84
10/3/2023 20:40,1.39,1.98,1.4,23.15,1.08,0.81
10/3/2023 21:00,1.36,1.95,1.47,22.66,0.75,0.96
10/3/2023 21:20,1.25,1.75,1.4,22.62,0.65,0.96
10/3/2023 21:40,1.14,1.48,1.41,21.91,0.77,0.73
10/3/2023 22:00,1.01,1.31,1.38,21.8,0.58,0.66
10/3/2023 22:20,0.89,1.09,1.27,21.62,0.68,0.52
10/3/2023 22:40,0.86,0.95,1.22,21.26,0.57,0.53
10/3/2023 23:00,0.97,0.86,1.37,20.07,0.61,0.5
10/3/2023 23:20,1.21,0.94,1.55,18.85,0.67,0.58
10/3/2023 23:40,1.34,1.09,1.72,18.5,0.65,0.71
10/4/2023 0:00,1.29,1.27,1.71,17.37,0.67,0.76
10/4/2023 0:20,1.2,1.49,1.45,16.12,0.56,0.64
10/4/2023 0:40,0.96,1.64,1.27,14.61,0.51,0.57
10/4/2023 1:00,0.76,1.8,1.01,13.61,0.59,0.47
10/4/2023 1:20,0.66,1.98,1.01,12.99,0.43,0.42
10/4/2023 1:40,0.49,1.98,1.01,11.66,0.44,0.42
10/4/2023 2:00,0.31,1.27,0.71,11.21,0.25,0.36
10/4/2023 2:20,0.24,0.73,0.08,11,0.32,0.32
10/4/2023 2:40,0.22,0.74,0.02,10.58,0.33,0.33
10/4/2023 3:00,0.15,0.35,0,10.13,0.34,0.31
10/4/2023 3:20,0.07,0.15,-0.01,10.15,0.34,0.3
10/4/2023 3:40,0.03,0.05,0.03,9.42,0.28,0.36
10/4/2023 4:00,0,0.04,-0.01,9.71,0.37,0.55
10/4/2023 4:20,-0.01,0.04,0.01,10.17,0.35,0.79
10/4/2023 4:40,-0.02,0,-0.03,9.82,0.37,0.96
10/4/2023 5:00,0,0,0.01,9.3,0.38,1.12
10/4/2023 5:20,-0.02,0.01,-0.01,10.56,0.24,1.12
10/4/2023 5:40,-0.02,0.01,-0.01,11.02,0.36,1.08
10/4/2023 6:00,-0.02,0,-0.01,10.88,0.22,1.22
10/4/2023 6:20,-0.03,0,-0.01,11.46,0.32,1.32
10/4/2023 6:40,-0.02,0.01,0,12.14,0.28,1.28
10/4/2023 7:00,-0.01,0.01,0.03,13.51,0.27,1.18
10/4/2023 7:20,-0.03,-0.01,0.18,14.56,0.28,1.07
10/4/2023 7:40,0.01,0.01,0.26,16.25,0.31,0.92
10/4/2023 8:00,-0.02,0.02,0.3,17.82,0.32,0.72
10/4/2023 8:20,-0.01,-0.02,0.26,19.21,0.31,0.47
10/4/2023 8:40,0,0,0.3,19.18,0.32,0.25
10/4/2023 9:00,0.01,0.03,0.48,19.4,0.31,0.2
10/4/2023 9:20,0.16,0.12,0.59,19.3,0.34,0.2
10/4/2023 9:40,0.56,0.31,1.27,18.1,0.28,0.26
10/4/2023 10:00,1.12,0.74,2.09,18.59,0.33,0.27
10/4/2023 10:20,1.71,1.3,2.81,18.51,0.38,0.31
10/4/2023 10:40,2.17,1.74,3.29,17.83,0.39,0.42
10/4/2023 11:00,2.49,2.14,3.51,17.07,0.54,0.58
10/4/2023 11:20,2.6,2.4,3.75,16.87,0.69,0.6
10/4/2023 11:40,2.51,2.46,3.62,16.71,0.7,0.83
10/4/2023 12:00,2.19,2.23,3.31,16.67,0.81,0.82
10/4/2023 12:20,1.83,1.76,2.77,16.32,0.62,0.73
10/4/2023 12:40,1.57,1.26,2.43,15.68,0.59,0.63
10/4/2023 13:00,1.35,1.08,2.08,15.32,0.64,0.55
10/4/2023 13:20,1.3,0.56,1.79,15.7,0.61,0.57
10/4/2023 13:40,1.32,0.43,1.69,15.4,0.56,0.57
10/4/2023 14:00,1.37,0.38,1.75,15.25,0.55,0.58
10/4/2023 14:20,1.37,0.5,1.83,14.83,0.5,0.44
10/4/2023 14:40,1.37,0.76,1.79,14.77,0.57,0.41
10/4/2023 15:00,0.82,1.07,1.77,14.27,0.47,0.42
10/4/2023 15:20,1.09,1.41,1.79,14.19,0.47,0.41
10/4/2023 15:40,1.26,1.58,1.73,13.85,0.45,0.42
10/4/2023 16:00,1.37,1.85,1.62,14.27,0.45,0.54
10/4/2023 16:20,1.48,2.2,1.61,14.68,0.46,0.56
10/4/2023 16:40,1.52,2.17,1.57,15.02,0.42,0.53
10/4/2023 17:00,1.36,2.16,1.66,15.26,0.51,0.52
10/4/2023 17:20,1.35,2.05,1.58,16.8,0.31,0.39
10/4/2023 17:40,1.47,1.55,1.55,16.41,0.3,0.37
10/4/2023 18:00,1.85,1.28,1.66,16.73,0.48,0.43
10/4/2023 18:20,2.09,1.19,1.94,17.07,0.5,0.62
10/4/2023 18:40,2.28,1,2.16,17.46,0.6,0.64
10/4/2023 19:00,2.29,1.1,2.25,17.23,0.59,0.78
10/4/2023 19:20,2.28,1.15,2.27,17.02,0.76,0.83
10/4/2023 19:40,2.21,1.36,2.4,19.07,0.66,0.79
10/4/2023 20:00,2.1,1.56,2.5,19.75,0.68,0.74
10/4/2023 20:20,2.01,1.82,2.6,20.3,0.6,0.75
10/4/2023 20:40,2.02,2.34,2.73,22.11,0.6,0.69
10/4/2023 21:00,2.16,2.41,2.82,21.58,0.89,0.83
10/4/2023 21:20,2.19,2.81,3.05,21.54,0.97,0.89
10/4/2023 21:40,2.26,2.87,3.12,21.2,0.83,1.03
10/4/2023 22:00,2.29,2.69,3.16,20.83,0.68,0.92
10/4/2023 22:20,2.28,2.41,3.18,20.86,1.16,1.04
10/4/2023 22:40,2.25,2.07,3.06,20.06,1.01,0.95
10/4/2023 23:00,2.19,1.63,3.07,19.39,1.07,1.04
10/4/2023 23:20,2.29,1.15,3.01,18.55,1.56,1.09
10/4/2023 23:40,2.42,0.82,3,17.73,1.29,1.32
10/5/2023 0:00,2.27,0.47,2.92,16.73,0.93,1.35
10/5/2023 0:20,2.08,0.43,2.65,16.28,1.48,1.43
10/5/2023 0:40,1.7,0.47,2.44,14.28,0.9,1.32
10/5/2023 1:00,1.3,0.39,2.05,12.86,0.82,1.22
10/5/2023 1:20,0.81,0.42,1.77,11.92,1.53,1.22
10/5/2023 1:40,0.37,0.42,1.77,10.83,1.24,1.03
10/5/2023 2:00,0.1,0.42,0.26,10.26,0.7,0.76
10/5/2023 2:20,0.04,0.41,0.17,10.32,0.81,0.68
10/5/2023 2:40,0,0.31,0.03,10.32,0.67,0.6
10/5/2023 3:00,0.01,0.29,-0.01,9.6,0.62,0.52
10/5/2023 3:20,-0.03,0.27,0.03,9.2,0.49,0.57
10/5/2023 3:40,-0.02,0.25,-0.02,9.73,0.6,0.24
10/5/2023 4:00,0.01,0.24,-0.03,9.73,0.42,0.29
10/5/2023 4:20,-0.02,0.16,-0.02,8.92,0.32,0.37
10/5/2023 4:40,-0.02,0.09,-0.02,9.1,0.34,0.45
10/5/2023 5:00,-0.01,0.04,-0.02,9.01,0.44,0.5
10/5/2023 5:20,0,0.01,0.02,9.49,0.28,0.48
10/5/2023 5:40,-0.02,0,0.03,10.55,0.35,0.58
10/5/2023 6:00,-0.01,-0.01,0,10.58,0.44,0.43
10/5/2023 6:20,0,-0.01,-0.03,10.56,0.14,0.45
10/5/2023 6:40,-0.01,-0.01,-0.03,11.64,0.27,0.42
10/5/2023 7:00,-0.02,-0.01,-0.03,12.43,0.24,0.42
10/5/2023 7:20,-0.01,-0.01,-0.02,13.8,0.25,0.4
10/5/2023 7:40,0,-0.01,0.02,14.95,0.32,0.39
10/5/2023 8:00,0,-0.01,0.02,15.31,0.27,0.33
10/5/2023 8:20,0,-0.01,0,18.12,0.21,0.3
10/5/2023 8:40,0,-0.01,0,18.2,0.3,0.2
10/5/2023 9:00,0,0.03,0.02,18.16,0.29,0.18
10/5/2023 9:20,0.05,0.1,0.22,18.13,0.27,0.22
10/5/2023 9:40,0.21,0.23,0.62,17.42,0.32,0.24
10/5/2023 10:00,0.43,0.39,1,16.97,0.34,0.31
10/5/2023 10:20,0.67,0.63,1.14,16.99,0.31,0.32
10/5/2023 10:40,0.83,0.88,1.18,16.16,0.25,0.33
10/5/2023 11:00,0.91,1.04,1.22,16.45,0.3,0.31
10/5/2023 11:20,0.98,1.13,1.27,16.07,0.33,0.33
10/5/2023 11:40,1.02,1.09,1.38,16.6,0.35,0.33
10/5/2023 12:00,1.08,1.07,1.33,16.63,0.29,0.34
10/5/2023 12:20,1.15,1.2,1.3,16.06,0.38,0.34
10/5/2023 12:40,1.21,1.16,1.27,16.62,0.36,0.32
10/5/2023 13:00,1.28,1.15,1.44,17.2,0.28,0.3
10/5/2023 13:20,1.44,1.31,1.69,16.83,0.32,0.31
10/5/2023 13:40,1.66,1.53,1.97,16.37,0.37,0.3
10/5/2023 14:00,1.91,1.6,2.15,15.23,0.37,0.29
10/5/2023 14:20,2.05,1.81,2.23,15.52,0.48,0.45
10/5/2023 14:40,2.05,1.89,2.34,15.55,0.34,0.53
